Topic,Wave_7_n,Wave_9_n,Wave_7_weighted_n,Wave_9_weighted_n
Amenities,6,5,2.540642722117202,5
Availability,53,10,22.44234404536862,10
Bugs,6,4,2.540642722117202,4
Commercial,38,15,16.090737240075615,15
Compliance,37,15,15.667296786389414,15
CSG,34,12,14.396975425330812,12
Description,22,10,9.315689981096408,10
Extranet account,23,25,9.73913043478261,25
Finance,73,25,30.911153119092628,25
Fraud,7,5,2.9640831758034025,5
Login issues,21,5,8.892249527410208,5
Messaging,3,5,1.270321361058601,5
OB,28,12,11.85633270321361,12
Policies,23,8,9.73913043478261,8
Property details,87,35,36.83931947069943,35
Pulse,3,2,1.270321361058601,2
Rates,19,10,8.045368620037808,10
Reviews,31,8,13.126654064272211,8
Room details,8,8,3.387523629489603,8
TED,7,5,2.9640831758034025,5
