NewHireID,Wave_7_Questions,Wave_9_Questions
NH001,5,0
NH002,10,3
NH003,11,3
NH004,8,4
NH005,12,9
NH006,9,9
NH007,7,7
NH008,17,7
NH009,8,3
NH010,16,1
NH011,11,3
NH012,12,5
NH013,7,4
NH014,9,3
NH015,9,7
NH016,13,4
NH017,11,2
NH018,10,3
NH019,12,2
NH020,10,5
NH021,10,3
NH022,7,6
NH023,10,5
NH024,12,3
NH025,10,9
NH026,11,8
NH027,18,4
NH028,4,6
NH029,11,7
NH030,14,4
NH031,14,3
NH032,9,6
NH033,13,3
NH034,6,7
NH035,9,6
NH036,7,2
NH037,10,5
NH038,14,4
NH039,10,2
NH040,15,5
NH041,8,3
NH042,4,4
NH043,14,5
NH044,12,1
NH045,10,1
NH046,11,2
NH047,6,5
NH048,12,4
NH049,8,2
NH050,7,0
