Date,Wave,Topic,n
2021-06-01,7,Property details,19
2021-06-02,7,Property details,20
2021-06-03,7,Property details,17
2021-06-04,7,Property details,22
2021-06-05,7,Property details,18
2021-06-06,7,Property details,17
2021-06-07,7,Property details,16
2021-06-08,7,Property details,28
2021-06-09,7,Property details,16
2021-06-10,7,Property details,27
2021-06-11,7,Property details,20
2021-06-12,7,Property details,22
2021-06-13,7,Property details,16
2021-06-14,7,Property details,18
2021-06-15,7,Property details,18
2021-06-16,7,Property details,24
2021-06-17,7,Property details,21
2021-06-18,7,Property details,19
2021-06-19,7,Property details,22
2021-06-20,7,Property details,19
2021-06-21,7,Property details,19
2021-06-22,7,Property details,15
2021-06-23,7,Property details,19
2021-06-24,7,Property details,22
2021-06-25,7,Property details,19
2021-06-26,7,Property details,13
2021-06-27,7,Property details,20
2021-06-28,7,Property details,10
2021-06-29,7,Property details,21
2021-06-30,7,Property details,25
2021-06-01,7,Finance,18
2021-06-02,7,Finance,12
2021-06-03,7,Finance,17
2021-06-04,7,Finance,9
2021-06-05,7,Finance,12
2021-06-06,7,Finance,10
2021-06-07,7,Finance,13
2021-06-08,7,Finance,18
2021-06-09,7,Finance,13
2021-06-10,7,Finance,19
2021-06-11,7,Finance,11
2021-06-12,7,Finance,9
2021-06-13,7,Finance,7
2021-06-14,7,Finance,18
2021-06-15,7,Finance,15
2021-06-16,7,Finance,14
2021-06-17,7,Finance,14
2021-06-18,7,Finance,9
2021-06-19,7,Finance,16
2021-06-20,7,Finance,11
2021-06-21,7,Finance,10
2021-06-22,7,Finance,19
2021-06-23,7,Finance,14
2021-06-24,7,Finance,26
2021-06-25,7,Finance,10
2021-06-26,7,Finance,20
2021-06-27,7,Finance,13
2021-06-28,7,Finance,18
2021-06-29,7,Finance,16
2021-06-30,7,Finance,14
2021-06-01,7,Availability,13
2021-06-02,7,Availability,4
2021-06-03,7,Availability,12
2021-06-04,7,Availability,6
2021-06-05,7,Availability,16
2021-06-06,7,Availability,8
2021-06-07,7,Availability,15
2021-06-08,7,Availability,12
2021-06-09,7,Availability,9
2021-06-10,7,Availability,7
2021-06-11,7,Availability,10
2021-06-12,7,Availability,12
2021-06-13,7,Availability,7
2021-06-14,7,Availability,9
2021-06-15,7,Availability,15
2021-06-16,7,Availability,5
2021-06-17,7,Availability,7
2021-06-18,7,Availability,8
2021-06-19,7,Availability,15
2021-06-20,7,Availability,11
2021-06-21,7,Availability,13
2021-06-22,7,Availability,11
2021-06-23,7,Availability,12
2021-06-24,7,Availability,11
2021-06-25,7,Availability,9
2021-06-26,7,Availability,13
2021-06-27,7,Availability,13
2021-06-28,7,Availability,8
2021-06-29,7,Availability,11
2021-06-30,7,Availability,15
2022-03-01,9,Property details,11
2022-03-02,9,Property details,7
2022-03-03,9,Property details,10
2022-03-04,9,Property details,5
2022-03-05,9,Property details,18
2022-03-06,9,Property details,13
2022-03-07,9,Property details,16
2022-03-08,9,Property details,11
2022-03-09,9,Property details,10
2022-03-10,9,Property details,15
2022-03-11,9,Property details,12
2022-03-12,9,Property details,21
2022-03-13,9,Property details,16
2022-03-14,9,Property details,9
2022-03-15,9,Property details,12
2022-03-16,9,Property details,11
2022-03-17,9,Property details,15
2022-03-18,9,Property details,13
2022-03-19,9,Property details,17
2022-03-20,9,Property details,12
2022-03-21,9,Property details,11
2022-03-22,9,Property details,3
2022-03-23,9,Property details,14
2022-03-24,9,Property details,7
2022-03-25,9,Property details,11
2022-03-26,9,Property details,14
2022-03-27,9,Property details,16
2022-03-28,9,Property details,10
2022-03-29,9,Property details,9
2022-03-30,9,Property details,11
2022-03-01,9,Finance,7
2022-03-02,9,Finance,8
2022-03-03,9,Finance,4
2022-03-04,9,Finance,4
2022-03-05,9,Finance,6
2022-03-06,9,Finance,11
2022-03-07,9,Finance,6
2022-03-08,9,Finance,15
2022-03-09,9,Finance,7
2022-03-10,9,Finance,10
2022-03-11,9,Finance,7
2022-03-12,9,Finance,5
2022-03-13,9,Finance,7
2022-03-14,9,Finance,11
2022-03-15,9,Finance,5
2022-03-16,9,Finance,6
2022-03-17,9,Finance,7
2022-03-18,9,Finance,5
2022-03-19,9,Finance,6
2022-03-20,9,Finance,8
2022-03-21,9,Finance,3
2022-03-22,9,Finance,6
2022-03-23,9,Finance,6
2022-03-24,9,Finance,3
2022-03-25,9,Finance,7
2022-03-26,9,Finance,6
2022-03-27,9,Finance,9
2022-03-28,9,Finance,5
2022-03-29,9,Finance,12
2022-03-30,9,Finance,9
2022-03-01,9,Availability,7
2022-03-02,9,Availability,9
2022-03-03,9,Availability,5
2022-03-04,9,Availability,3
2022-03-05,9,Availability,3
2022-03-06,9,Availability,10
2022-03-07,9,Availability,8
2022-03-08,9,Availability,6
2022-03-09,9,Availability,7
2022-03-10,9,Availability,2
2022-03-11,9,Availability,6
2022-03-12,9,Availability,5
2022-03-13,9,Availability,3
2022-03-14,9,Availability,5
2022-03-15,9,Availability,5
2022-03-16,9,Availability,7
2022-03-17,9,Availability,2
2022-03-18,9,Availability,4
2022-03-19,9,Availability,8
2022-03-20,9,Availability,3
2022-03-21,9,Availability,6
2022-03-22,9,Availability,5
2022-03-23,9,Availability,6
2022-03-24,9,Availability,6
2022-03-25,9,Availability,6
2022-03-26,9,Availability,6
2022-03-27,9,Availability,5
2022-03-28,9,Availability,7
2022-03-29,9,Availability,2
2022-03-30,9,Availability,7
